수계,댐이름,금일강우량,전일강우량,금년전일누계강우량,전년전일누계강우량,예년전일누계강우량,전일유입량,전체전일방류량유량,생공용수전일방류량유량,하천.관개전일방류량유량,여수로전일방류량유량,용수공급계획,현재저수위,전년저수위,예년저수위,현저수량,현재저수율저수량,전년저수율저수량,예년저수율저수량,총저수량
낙동강,감포,0.0,0.0,144.0,338.0,246.7,0.013,0.050,0.050,0.000,0.000,0.052,36.61,40.001,36.285,1.552,58.9,80.8,56.9,2.636
낙동강,구천,0.0,0.0,239.0,499.0,397.2,0.243,0.239,0.238,0.001,0.000,0.231,89.379,93.007,87.358,7.737,77.2,93.3,69.2,10.016
낙동강,대곡,0.0,0.0,138.4,342.5,232.5,0.113,0.000,0.000,0.000,0.000,1.020,106.577,119.437,107.935,8.163,22.6,79.0,26.5,36.160
낙동강,대암,0.0,0.0,133.0,336.0,243.3,4.321,4.663,4.663,0.000,0.000,5.787,47.00,48.076,47.402,4.915,37.4,46.0,40.5,13.140
낙동강,사연,0.0,0.0,149.0,343.3,237.7,0.254,0.003,0.000,0.003,0.000,2.083,46.05,49.091,49.994,5.453,18.0,27.1,30.4,30.335
낙동강,선암,0.0,0.0,150.0,321.0,237.5,0.403,0.576,0.576,0.000,0.000,0.000,27.15,27.403,27.466,1.574,77.9,81.0,81.8,2.021
낙동강,안계,0.0,0.0,94.0,264.0,183.2,1.548,1.670,1.670,0.000,0.000,0.000,38.08,37.20,38.894,10.146,55.0,50.1,59.7,18.463
낙동강,연초,0.0,0.0,148.0,397.0,326.3,0.016,0.099,0.098,0.001,0.000,0.185,46.757,47.969,44.959,3.717,71.2,85.0,53.3,5.219
낙동강,영천,0.0,0.0,94.2,231.9,177.3,6.068,5.627,3.407,2.220,0.000,4.259,145.64,154.404,147.139,34.880,33.8,72.7,39.6,103.210
낙동강,운문,0.0,0.0,135.8,314.4,194.1,1.830,4.251,3.271,0.980,0.000,4.352,138.69,148.70,138.907,69.267,43.2,81.4,46.1,160.252
섬진강,수어,0.0,0.0,199.6,514.4,315.5,1.315,3.923,3.865,0.058,0.000,6.250,55.457,57.685,56.41,17.467,55.9,65.3,59.8,31.272
영산강,평림,0.0,0.0,207.9,318.5,214.9,0.208,0.329,0.254,0.075,0.000,0.278,106.955,109.626,105.885,6.278,61.2,81.8,53.9,10.264
한강,광동,0.0,0.0,160.5,286.7,185.1,0.987,0.987,0.403,0.000,0.584,0.810,672.12,672.21,671.005,9.195,70.0,70.7,61.9,13.130
한강,달방,0.0,0.0,169.0,400.0,232.5,0.086,0.174,0.125,0.049,0.000,0.417,111.94,111.20,109.001,7.344,83.9,80.0,69.0,8.749
